,date,predict,code
1759,2020-02-06,0.0,002059
1899,2020-02-07,0.0,002059
2039,2020-02-10,1.0,002059
2179,2020-02-11,1.0,002059
2319,2020-02-12,1.0,002059
2459,2020-02-13,1.0,002059
2599,2020-02-14,1.0,002059
2739,2020-02-17,1.0,002059
2879,2020-02-18,1.0,002059
3019,2020-02-19,1.0,002059
3159,2020-02-20,1.0,002059
3299,2020-02-21,1.0,002059
3439,2020-02-24,1.0,002059
3579,2020-02-25,1.0,002059
3719,2020-02-26,0.34250593185424805,002059
3859,2020-02-27,0.0,002059
3999,2020-02-28,0.0,002059
4139,2020-02-29,0.0,002059
17,2020-01-13,0.7559814453125,002110
157,2020-01-14,0.0,002110
297,2020-01-15,0.0,002110
437,2020-01-16,0.0,002110
577,2020-01-17,0.0,002110
717,2020-01-20,0.0,002110
857,2020-01-21,0.0,002110
997,2020-01-22,0.0,002110
1137,2020-01-23,0.0,002110
1277,2020-02-03,0.0,002110
1417,2020-02-04,0.0,002110
1557,2020-02-05,0.0,002110
1697,2020-02-06,0.0,002110
1837,2020-02-07,0.0,002110
1977,2020-02-10,0.43537473678588867,002110
2117,2020-02-11,1.0,002110
2257,2020-02-12,1.0,002110
2397,2020-02-13,1.0,002110
2537,2020-02-14,1.0,002110
2677,2020-02-17,1.0,002110
2817,2020-02-18,1.0,002110
2957,2020-02-19,1.0,002110
3097,2020-02-20,1.0,002110
3237,2020-02-21,1.0,002110
3377,2020-02-24,1.0,002110
3517,2020-02-25,1.0,002110
3657,2020-02-26,0.6375284194946289,002110
3797,2020-02-27,0.0,002110
3937,2020-02-28,0.0,002110
4077,2020-02-29,0.0,002110
118,2020-01-13,1.0,002115
258,2020-01-14,0.8333828449249268,002115
398,2020-01-15,0.0,002115
538,2020-01-16,0.0,002115
678,2020-01-17,0.0,002115
818,2020-01-20,0.0,002115
958,2020-01-21,0.0,002115
1098,2020-01-22,0.0,002115
1238,2020-01-23,0.0,002115
1378,2020-02-03,0.0,002115
1518,2020-02-04,0.0,002115
